Span:,-30,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,590447404.8,-85921138.8,596666217.6,44399650.5,542304.4921875,-4054278.15,4090386.9375,-28734569.1,1.35
Mx,Min,dlc61_U50_Ym8_278,-642008160,112521333.6,651794083.2,-41631605.1,1814371.48125,4403098.2375,4762270.125,-28417645.8,1.35
My,Max,dlc13_U20_Yp10_82,23937495.3,595696550.4,596177323.2,5595501.2625,4617829.2375,-48183.1189453125,4618080.675,-29853851.4,1.35
My,Min,dlc14_U11,139338100.8,-268066087.2,302116759.2,52564140,-1310288.146875,-833194.603125,1552761.5625,-29165386.5,1.35
Mxy,Max,dlc61_U50_Ym8_278,-641423793.6,120466418.4,652638211.2,-40463844.3,1908830.1375,4391452.4625,4788370.0125,-28496267.1,1.35
Mxy,Min,dlc13_U04_Ym10_879,-10015.1740722656,-21543.4344726563,23757.5953125,4378262.2875,621680.6953125,159476.966015625,641809.7859375,-29136707.1,1.35
Mz,Max,dlc13_U24_Yp10_735,53854227,21094356.15,57838131,82403357.4,1049628.965625,361399.4296875,1110103.81875,-29930050.8,1.35
Mz,Min,dlc13_U24_Ym10_735,-19596022.2,34117780.5,39344975.1,-90442845,752858.71875,360252.0984375,834612.35625,-28595899.8,1.35
Fx,Max,dlc13_U18_Ym10_353,1867263.80625,589730716.8,589733654.4,-18744025.05,4804856.55,221267.42578125,4809948.4125,-29765450.7,1.35
Fx,Min,dlc14_U11,135335318.4,-266063464.8,298505304,53852515.2,-1335775.134375,-795729.65625,1554825.0375,-29136466.8,1.35
Fy,Max,dlc61_U50_Ym8_278,-642008160,112521333.6,651794083.2,-41631605.1,1814371.48125,4403098.2375,4762270.125,-28417645.8,1.35
Fy,Min,dlc61_U50_Yp8_37,590447404.8,-85921138.8,596666217.6,44399650.5,542304.4921875,-4054278.15,4090386.9375,-28734569.1,1.35
Fxy,Max,dlc13_U18_Ym10_353,25727095.8,588743164.8,589305024,-20922030,4787724.7125,-530289.534375,4817002.5,-29552150.7,1.35
